gq42_point,quad0,quad1,Aq_perm,Aq_class
0,0,33,"(0, 2, 1)",transposition
1,1,35,"(0, 2, 1)",transposition
2,2,34,"(0, 2, 1)",transposition
3,3,42,"(0, 1, 2)",id
4,4,48,"(0, 1, 2)",id
5,5,44,"(1, 2, 0)",3-cycle
6,6,49,"(2, 1, 0)",transposition
7,7,43,"(1, 2, 0)",3-cycle
8,8,50,"(1, 2, 0)",3-cycle
9,9,36,"(0, 2, 1)",transposition
10,10,39,"(0, 2, 1)",transposition
11,11,72,"(0, 1, 2)",id
12,12,54,"(0, 1, 2)",id
13,13,74,"(1, 0, 2)",transposition
14,14,58,"(1, 0, 2)",transposition
15,15,76,"(1, 2, 0)",3-cycle
16,16,56,"(1, 2, 0)",3-cycle
17,17,37,"(0, 2, 1)",transposition
18,18,41,"(0, 2, 1)",transposition
19,19,84,"(0, 1, 2)",id
20,20,60,"(0, 1, 2)",id
21,21,87,"(1, 0, 2)",transposition
22,22,65,"(1, 0, 2)",transposition
23,23,89,"(1, 2, 0)",3-cycle
24,24,62,"(1, 2, 0)",3-cycle
25,25,38,"(0, 2, 1)",transposition
26,26,40,"(0, 2, 1)",transposition
27,27,78,"(0, 1, 2)",id
28,28,66,"(0, 1, 2)",id
29,29,81,"(1, 0, 2)",transposition
30,30,70,"(1, 0, 2)",transposition
31,31,83,"(1, 2, 0)",3-cycle
32,32,69,"(1, 2, 0)",3-cycle
33,51,45,"(0, 1, 2)",id
34,53,46,"(0, 1, 2)",id
35,52,47,"(0, 1, 2)",id
36,55,73,"(0, 1, 2)",id
37,57,77,"(0, 1, 2)",id
38,59,75,"(0, 1, 2)",id
39,61,85,"(0, 1, 2)",id
40,63,88,"(0, 1, 2)",id
41,64,86,"(0, 1, 2)",id
42,67,79,"(0, 1, 2)",id
43,68,82,"(0, 1, 2)",id
44,71,80,"(0, 1, 2)",id
