a0,a1,a2,a3,m0,m1,m2,m3,support_b0,support_b1,support_b2,support_b3,support_bits,is_tomotope,tomotope_triangle
0,0,2,0,0,0,2,2,0,0,1,0,0010,1,"(4,-3)"
0,1,0,2,0,1,0,0,0,1,0,1,0101,1,"(3,-3)"
0,2,1,1,0,2,1,1,0,1,1,1,0111,1,"(3,-4)"
2,0,0,2,2,2,2,1,1,0,0,1,1001,1,"(1,-2)"
2,0,1,0,2,2,0,0,1,0,1,0,1010,1,"(2,-2)"
1,0,2,2,1,1,0,2,1,0,1,1,1011,1,"(4,-1)"
2,0,2,1,2,2,1,2,1,0,1,1,1011,1,"(2,-1)"
2,1,0,0,2,0,2,0,1,1,0,0,1100,1,"(1,-3)"
1,1,0,1,1,2,1,0,1,1,0,1,1101,1,"(1,-1)"
2,2,0,1,2,1,2,2,1,1,0,1,1101,1,"(4,-2)"
1,2,1,0,1,0,2,1,1,1,1,0,1110,1,"(1,-4)"
2,2,2,0,2,1,1,0,1,1,1,0,1110,1,"(3,-1)"
2,1,1,1,2,0,0,2,1,1,1,1,1111,1,"(2,-3)"
2,1,2,2,2,0,1,1,1,1,1,1,1111,1,"(2,-4)"
2,2,1,2,2,1,0,1,1,1,1,1,1111,1,"(3,-2)"
0,0,0,1,0,0,0,1,0,0,0,1,0001,0,
0,0,1,2,0,0,1,0,0,0,1,1,0011,0,
0,2,0,0,0,2,0,2,0,1,0,0,0100,0,
0,1,1,0,0,1,1,2,0,1,1,0,0110,0,
0,1,2,1,0,1,2,1,0,1,1,1,0111,0,
0,2,2,2,0,2,2,0,0,1,1,1,0111,0,
1,0,0,0,1,1,1,1,1,0,0,0,1000,0,
1,0,1,1,1,1,2,0,1,0,1,1,1011,0,
1,2,0,2,1,0,1,2,1,1,0,1,1101,0,
1,1,2,0,1,2,0,1,1,1,1,0,1110,0,
1,1,1,2,1,2,2,2,1,1,1,1,1111,0,
1,2,2,1,1,0,0,0,1,1,1,1,1111,0,
