a0,a1,a2,a3,m0,m1,m2,m3,support
0,0,0,1,0,0,0,1,0001
0,0,1,2,0,0,1,0,0011
0,0,2,0,0,0,2,2,0010
0,1,0,2,0,1,0,0,0101
0,1,1,0,0,1,1,2,0110
0,1,2,1,0,1,2,1,0111
0,2,0,0,0,2,0,2,0100
0,2,1,1,0,2,1,1,0111
0,2,2,2,0,2,2,0,0111
1,0,0,0,1,1,1,1,1000
1,0,1,1,1,1,2,0,1011
1,0,2,2,1,1,0,2,1011
1,1,0,1,1,2,1,0,1101
1,1,1,2,1,2,2,2,1111
1,1,2,0,1,2,0,1,1110
1,2,0,2,1,0,1,2,1101
1,2,1,0,1,0,2,1,1110
1,2,2,1,1,0,0,0,1111
2,0,0,2,2,2,2,1,1001
2,0,1,0,2,2,0,0,1010
2,0,2,1,2,2,1,2,1011
2,1,0,0,2,0,2,0,1100
2,1,1,1,2,0,0,2,1111
2,1,2,2,2,0,1,1,1111
2,2,0,1,2,1,2,2,1101
2,2,1,2,2,1,0,1,1111
2,2,2,0,2,1,1,0,1110
