lambda,mu,t,coh_abs_flux,coh_abs_noflux,def_mass_flux,def_mass_noflux,Jdef_flux,Jdef_noflux
0.43,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.43,0.75,0.25,8.933238534421028e-06,6.516073495304757e-06,0.8810188850564901,0.8810188850376104,0.9044498617440789,0.9044498612620275
0.43,0.75,0.5,0.00022883888164515646,3.51624051149972e-05,0.5997915189750398,0.5997914625766323,1.241112065797797,1.2411113478171416
0.43,0.75,0.75,0.0007627314413720496,0.0007246957344756742,0.3506631817883933,0.3506589019390318,0.7574687431305572,0.7574326678627341
0.43,0.75,1.0,0.00022859145631471517,0.0036744266154131776,0.2576857731076958,0.2576234314172591,0.20216086529926,0.20177725155104653
0.43,0.75,1.25,0.003630496124084018,0.006918389326171029,0.2539602642466275,0.253637614167895,0.37644445031597357,0.3752237947226344
0.43,0.75,1.5,0.006537547133565328,0.008752206817156695,0.24873162065194024,0.24795768787625314,0.28713813513888015,0.28604819995695785
0.43,0.75,1.75,0.009625938398905865,0.012355381426238985,0.22901436410191311,0.22795447944318953,0.30925009517208585,0.30626577340742234
0.43,0.75,2.0,0.01756778409786326,0.016350544292583098,0.19748294327052274,0.19622111413262283,0.22649462582847155,0.22292647421943718
0.46,1.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.46,1.25,0.25,1.7685894046979842e-05,1.3117796184659309e-05,0.8816426401158792,0.8816426400970405,0.9049262551477321,0.9049262546667252
0.46,1.25,0.5,0.0004992385538683253,0.00014244205313546543,0.6072097709309473,0.6072097150050287,1.2530643765510254,1.2530636646457713
0.46,1.25,0.75,0.002140322535515495,0.0005206089030514432,0.37306972934151716,0.37306552517994257,0.8150416218491952,0.8150062060035489
0.46,1.25,1.0,0.0023513765341534945,0.003926476390569404,0.29214273431589755,0.29208213592279825,0.20235872594756443,0.2019847336374241
0.46,1.25,1.25,0.0007284876404056413,0.008276547965327936,0.2897070931258221,0.2893955452478034,0.282599740684062,0.2814124028843464
0.46,1.25,1.5,0.0029482725560339663,0.01092302790773814,0.27793662252562623,0.2771821978754281,0.31796063657221374,0.3168667561212938
0.46,1.25,1.75,0.00504578997366756,0.013928660981146252,0.249869862646366,0.248786771372019,0.3359001277069553,0.33384078791021826
0.46,1.25,2.0,0.012237527581952845,0.016203687746015855,0.2163340975929004,0.2149843510468449,0.25596738708918637,0.2539030325890092
0.5,1.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.5,1.25,0.25,2.0730519851589527e-05,1.5344463809591842e-05,0.8816868686981256,0.8816868686793098,0.904919398687103,0.9049193982064303
0.5,1.25,0.5,0.0005728188892548903,0.0001547319630733888,0.6076757307021631,0.6076756750408424,1.2530390883181428,1.2530383783744161
0.5,1.25,0.75,0.0023555901906874453,0.0007294156692262002,0.37406417799601777,0.3740600178751506,0.8156825645691443,0.8156473633472175
0.5,1.25,1.0,0.002261850133634636,0.004898047216306998,0.2926584609626745,0.29259895229409527,0.2099147809793125,0.2095448236828631
0.5,1.25,1.25,0.0015285768662672999,0.009899925459318348,0.28918642441288656,0.28888295904002115,0.2826744015184463,0.2815115575678592
0.5,1.25,1.5,0.0042964915801727045,0.012628917430503933,0.2770392333296242,0.2763079294897616,0.32109734307292365,0.31999002600299314
0.5,1.25,1.75,0.00744688522751943,0.015598803987000812,0.24912975812563964,0.24807408156914623,0.3309586488634057,0.3290734507993017
0.5,1.25,2.0,0.015938904887831843,0.01735196548610915,0.2159804808157873,0.2146588941485948,0.25549747364854675,0.25392965150572433
