a0,a1,a2,a3,m0,m1,m2,m3,quartet,idx27,in_tomotope15
0,0,0,1,0,0,0,1,sec0_m0 sec1_m0 sec2_m0 sec3_m1,0,0
0,0,1,2,0,0,1,0,sec0_m0 sec1_m0 sec2_m1 sec3_m0,1,0
0,0,2,0,0,0,2,2,sec0_m0 sec1_m0 sec2_m2 sec3_m2,2,1
0,1,0,2,0,1,0,0,sec0_m0 sec1_m1 sec2_m0 sec3_m0,3,1
0,1,1,0,0,1,1,2,sec0_m0 sec1_m1 sec2_m1 sec3_m2,4,0
0,1,2,1,0,1,2,1,sec0_m0 sec1_m1 sec2_m2 sec3_m1,5,0
0,2,0,0,0,2,0,2,sec0_m0 sec1_m2 sec2_m0 sec3_m2,6,0
0,2,1,1,0,2,1,1,sec0_m0 sec1_m2 sec2_m1 sec3_m1,7,1
0,2,2,2,0,2,2,0,sec0_m0 sec1_m2 sec2_m2 sec3_m0,8,0
1,0,0,0,1,1,1,1,sec0_m1 sec1_m1 sec2_m1 sec3_m1,9,0
1,0,1,1,1,1,2,0,sec0_m1 sec1_m1 sec2_m2 sec3_m0,10,0
1,0,2,2,1,1,0,2,sec0_m1 sec1_m1 sec2_m0 sec3_m2,11,1
1,1,0,1,1,2,1,0,sec0_m1 sec1_m2 sec2_m1 sec3_m0,12,1
1,1,1,2,1,2,2,2,sec0_m1 sec1_m2 sec2_m2 sec3_m2,13,0
1,1,2,0,1,2,0,1,sec0_m1 sec1_m2 sec2_m0 sec3_m1,14,0
1,2,0,2,1,0,1,2,sec0_m1 sec1_m0 sec2_m1 sec3_m2,15,0
1,2,1,0,1,0,2,1,sec0_m1 sec1_m0 sec2_m2 sec3_m1,16,1
1,2,2,1,1,0,0,0,sec0_m1 sec1_m0 sec2_m0 sec3_m0,17,0
2,0,0,2,2,2,2,1,sec0_m2 sec1_m2 sec2_m2 sec3_m1,18,1
2,0,1,0,2,2,0,0,sec0_m2 sec1_m2 sec2_m0 sec3_m0,19,1
2,0,2,1,2,2,1,2,sec0_m2 sec1_m2 sec2_m1 sec3_m2,20,1
2,1,0,0,2,0,2,0,sec0_m2 sec1_m0 sec2_m2 sec3_m0,21,1
2,1,1,1,2,0,0,2,sec0_m2 sec1_m0 sec2_m0 sec3_m2,22,1
2,1,2,2,2,0,1,1,sec0_m2 sec1_m0 sec2_m1 sec3_m1,23,1
2,2,0,1,2,1,2,2,sec0_m2 sec1_m1 sec2_m2 sec3_m2,24,1
2,2,1,2,2,1,0,1,sec0_m2 sec1_m1 sec2_m0 sec3_m1,25,1
2,2,2,0,2,1,1,0,sec0_m2 sec1_m1 sec2_m1 sec3_m0,26,1
