mode_k,node,weight,is_defect_adjacent,degree
1,12,0.2189,1,3
1,27,0.2,1,5
1,15,0.07,0,5
1,13,0.0446,0,6
1,58,0.0417,0,3
1,20,0.0399,1,6
1,53,0.0352,0,5
1,29,0.0329,0,4
2,20,0.2132,1,6
2,27,0.1839,1,5
2,40,0.0595,0,5
2,19,0.0379,0,5
2,13,0.0352,0,6
2,44,0.0293,0,5
2,58,0.0271,0,3
2,12,0.0245,1,3
3,20,0.298,1,6
3,27,0.1081,1,5
3,58,0.0422,0,3
3,38,0.037,0,6
3,49,0.0281,0,3
3,13,0.0271,0,6
3,7,0.0249,0,3
3,47,0.0205,0,5
4,20,0.4235,1,6
4,27,0.0369,1,5
4,40,0.0299,0,5
4,4,0.0269,0,4
4,12,0.024,1,3
4,41,0.0228,0,5
4,5,0.0227,0,4
4,53,0.0223,0,5
5,20,0.2554,1,6
5,27,0.111,1,5
5,40,0.0517,0,5
5,19,0.0355,0,5
5,38,0.0326,0,6
5,13,0.0297,0,6
5,50,0.028,0,5
5,44,0.0271,0,5
6,27,0.1438,1,5
6,13,0.0859,0,6
6,38,0.0635,0,6
6,20,0.0546,1,6
6,12,0.0448,1,3
6,34,0.0339,0,6
6,56,0.0314,0,6
6,50,0.0298,0,5
7,27,0.0959,1,5
7,13,0.0657,0,6
7,34,0.0598,0,6
7,20,0.054,1,6
7,12,0.0523,1,3
7,15,0.0383,0,5
7,23,0.0365,0,5
7,40,0.0346,0,5
8,27,0.093,1,5
8,20,0.0833,1,6
8,12,0.0738,1,3
8,34,0.0481,0,6
8,54,0.0347,0,5
8,13,0.0326,0,6
8,53,0.0326,0,5
8,16,0.0285,0,5
