line_id,odd_fraction,coef_flux_def_mass,odd_z,def_mass_z,score
0,0.1666666666666666,-0.6665620400003318,-0.8723567442899587,-0.9252275194930856,-1.7975842637830444
1,0.3333333333333333,-0.2066478699552756,-0.07930515857181439,-0.3334663491904545,-0.4127715077622689
2,0.3333333333333333,0.4920129107837895,-0.07930515857181439,0.5654846903354549,0.4861795317636405
3,0.6666666666666666,-0.2723606266643202,1.5067980128644736,-0.4180174683919932,1.0887805444724803
4,0.3333333333333333,-0.0225795530024354,-0.07930515857181439,-0.09662980500444385,-0.17593496357625824
5,0.0,0.1136544968535866,-1.6654083300081024,0.07865946857886127,-1.586748861429241
6,0.6666666666666666,-0.5507272837375236,1.5067980128644736,-0.7761855560304591,0.7306124568340144
7,0.6666666666666666,-0.3380600081139429,1.5067980128644736,-0.5025513779494633,1.0042466349150103
8,0.5,-0.3996141447551425,0.7137464271463297,-0.5817516946785518,0.13199473246777793
9,0.1666666666666666,1.8339755252106589,-0.8723567442899587,2.292157663116062,1.4198009188261034
10,0.0,-0.3840576036315098,-1.6654083300081024,-0.5617354447328717,-2.2271437747409744
11,0.3333333333333333,0.1136544968535866,-0.07930515857181439,0.07865946857886127,-0.0006456899929531135
12,0.1666666666666666,-0.2984760102978478,-0.8723567442899587,-0.4516195424058565,-1.3239762866958151
13,0.5,0.0389703660600763,0.7137464271463297,-0.017434914938551944,0.6963115122077778
14,0.3333333333333333,-0.3162451234162851,-0.07930515857181439,-0.47448265874162004,-0.5537878173134344
15,0.3333333333333333,1.2591354457151878,-0.07930515857181439,1.5525239220078624,1.473218763436048
16,0.6666666666666666,-0.7155745435567648,1.5067980128644736,-0.9882908003247574,0.5185072125397162
17,0.6666666666666666,-0.0099554157012992,1.5067980128644736,-0.0803866127961029,1.4264114000683707
18,0.1666666666666666,0.4015697451271502,-0.8723567442899587,0.4491135127533327,-0.42324323153662596
19,0.3333333333333333,2.872173394086594,-0.07930515857181439,3.6279834017131867,3.548678243141372
20,0.3333333333333333,-0.1277700409736393,-0.07930515857181439,-0.23197602897585637,-0.31128118754767076
21,0.6666666666666666,0.1184159150185909,1.5067980128644736,0.08478587774200387,1.5915838906064774
22,0.6666666666666666,0.6959481425519692,1.5067980128644736,0.8278835448983697,2.3346815577628433
23,0.6666666666666666,0.1948239000788514,1.5067980128644736,0.18309830559195708,1.6898963184564306
24,0.1666666666666666,0.703764160468832,-0.8723567442899587,0.8379402385400027,-0.03441650574995603
25,0.1666666666666666,0.1136544968535866,-0.8723567442899587,0.07865946857886127,-0.7936972757110974
26,0.6666666666666666,-0.1289961745139438,1.5067980128644736,-0.23355366729625604,1.2732443455682176
27,0.1666666666666666,0.2940638169987643,-0.8723567442899587,0.3107880642517312,-0.5615686800382275
28,0.1666666666666666,-0.2216296765634885,-0.8723567442899587,-0.3527431012219373,-1.225099845511896
29,0.1666666666666666,-2.010399221416444,-0.8723567442899587,-2.654312455260735,-3.5266691995506934
30,0.3333333333333333,0.1136544968535866,-0.07930515857181439,0.07865946857886127,-0.0006456899929531135
31,0.1666666666666666,-0.1993656857479968,-0.8723567442899587,-0.324096527320351,-1.1964532716103098
32,0.3333333333333333,-1.0895791097899228,-0.07930515857181439,-1.4695140246298042,-1.5488191832016185
33,0.1666666666666666,1.2657183764992868,-0.8723567442899587,1.560994030298803,0.6886372860088443
34,0.1666666666666666,0.217066761684428,-0.8723567442899587,0.21171769301658458,-0.6606390512733741
35,0.6666666666666666,0.0488193029616273,1.5067980128644736,-0.004762510375483968,1.5020355024889895
36,0.3333333333333333,-0.5507272837375236,-0.07930515857181439,-0.7761855560304591,-0.8554907146022735
37,0.1666666666666666,0.0552353565709152,-0.8723567442899587,0.00349288082541048,-0.8688638634645482
38,0.1666666666666666,0.1020604785835649,-0.8723567442899587,0.06374170725112051,-0.8086150370388382
39,0.3333333333333333,-0.4382159699224015,-0.07930515857181439,-0.631419790868232,-0.7107249494400464
