line_id_a,line_id_b,count,mean_corr,median_corr,mean_opp_rate,median_opp_rate
7,13,2,-0.901639982601295,-0.901639982601295,0.0,0.0
19,36,1,-0.8370016502123718,-0.8370016502123718,0.3333333333333333,0.3333333333333333
4,5,2,-0.8341291426212835,-0.8341291426212835,1.0,1.0
12,38,3,-0.8324001777365003,-0.8324001777365003,0.0,0.0
16,18,1,-0.7705530873443502,-0.7705530873443502,0.6470588235294118,0.6470588235294118
4,21,1,-0.752053500602778,-0.752053500602778,1.0,1.0
11,19,1,-0.7503604685158244,-0.7503604685158244,0.0196078431372549,0.0196078431372549
25,27,3,-0.7327709571730969,-0.7327709571730969,0.6078431372549019,0.6078431372549019
17,39,2,-0.7322812102149682,-0.7322812102149682,1.0,1.0
18,32,1,-0.6404578584810873,-0.6404578584810873,0.37254901960784315,0.37254901960784315
3,32,1,-0.6351245853212173,-0.6351245853212173,0.37254901960784315,0.37254901960784315
2,35,1,-0.6127868654355564,-0.6127868654355564,0.6078431372549019,0.6078431372549019
19,35,2,-0.6079318525030337,-0.6079318525030337,0.0196078431372549,0.0196078431372549
8,17,3,-0.597998412220495,-0.597998412220495,1.0,1.0
19,26,2,-0.5934167358956074,-0.5934167358956074,0.0196078431372549,0.0196078431372549
2,26,1,-0.5858802027636892,-0.5858802027636892,0.6078431372549019,0.6078431372549019
0,34,6,-0.5752619038351464,-0.5752619038351464,0.45098039215686275,0.45098039215686275
27,29,3,-0.48570884990306407,-0.48570884990306407,0.6666666666666666,0.6666666666666666
2,7,2,-0.46545835476730263,-0.46545835476730263,0.6078431372549019,0.6078431372549019
18,23,1,-0.4503522778947913,-0.4503522778947913,0.9607843137254902,0.9607843137254902
6,20,3,-0.4399179643361011,-0.4399179643361011,0.6470588235294118,0.6470588235294118
2,11,2,-0.43003722558451185,-0.43003722558451185,0.6078431372549019,0.6078431372549019
0,37,6,-0.41987125005692766,-0.41987125005692766,0.45098039215686275,0.45098039215686275
1,4,2,-0.3754439284588736,-0.3754439284588736,1.0,1.0
3,15,2,-0.34726624937329853,-0.34726624937329853,0.3333333333333333,0.3333333333333333
2,36,1,-0.30930450710974183,-0.30930450710974183,0.5294117647058824,0.5294117647058824
12,29,3,-0.30262272644307514,-0.30262272644307514,0.2549019607843137,0.2549019607843137
8,28,3,-0.28185613986922237,-0.28185613986922237,0.21568627450980393,0.21568627450980393
3,16,1,-0.279890053788622,-0.279890053788622,0.6470588235294118,0.6470588235294118
28,39,3,-0.23066157201384277,-0.23066157201384277,0.21568627450980393,0.21568627450980393
27,38,3,-0.21455400974955516,-0.21455400974955516,0.6078431372549019,0.6078431372549019
12,27,3,-0.21263379709685978,-0.21263379709685978,0.6078431372549019,0.6078431372549019
15,18,2,-0.18463716367362268,-0.18463716367362268,0.3333333333333333,0.3333333333333333
22,30,3,-0.16028591807482775,-0.16028591807482775,0.29411764705882354,0.29411764705882354
14,22,3,-0.1489944693701495,-0.1489944693701495,0.29411764705882354,0.29411764705882354
1,36,1,-0.1299095866789927,-0.1299095866789927,0.3137254901960784,0.3137254901960784
7,21,1,-0.11671155351357261,-0.11671155351357261,0.0,0.0
13,35,1,-0.08808394927356986,-0.08808394927356986,0.0,0.0
4,13,1,-0.06188237960984912,-0.06188237960984912,1.0,1.0
12,33,3,-0.01819507342341422,-0.01819507342341422,0.45098039215686275,0.45098039215686275
14,30,3,-0.014685757704161495,-0.014685757704161495,0.0,0.0
23,32,2,0.0064818491097615675,0.0064818491097615675,0.6666666666666666,0.6666666666666666
5,7,1,0.016141527739411337,0.016141527739411337,0.0,0.0
13,26,1,0.018488907121240808,0.018488907121240808,0.0,0.0
12,25,3,0.03650649245810395,0.03650649245810395,0.0,0.0
9,31,6,0.12877465203081878,0.12877465203081878,0.45098039215686275,0.45098039215686275
9,24,6,0.13818001631649263,0.13818001631649263,0.6274509803921569,0.6274509803921569
1,11,1,0.144508282064484,0.144508282064484,0.0,0.0
15,23,1,0.14954281007782458,0.14954281007782458,0.6274509803921569,0.6274509803921569
15,16,1,0.15567087156361414,0.15567087156361414,0.43137254901960786,0.43137254901960786
3,23,1,0.16447827904904003,0.16447827904904003,0.9607843137254902,0.9607843137254902
15,32,1,0.2275567670270691,0.2275567670270691,0.39215686274509803,0.39215686274509803
7,19,1,0.2623957283958099,0.2623957283958099,0.0196078431372549,0.0196078431372549
11,13,1,0.35049388791609976,0.35049388791609976,0.0,0.0
1,26,1,0.39656309653026545,0.39656309653026545,0.0,0.0
6,28,2,0.4742812845975106,0.4742812845975106,0.47058823529411764,0.47058823529411764
16,32,2,0.4984329937228523,0.4984329937228523,0.35294117647058826,0.35294117647058826
1,35,2,0.5035863507155278,0.5035863507155278,0.0,0.0
8,20,2,0.5182651446372207,0.5182651446372207,0.23529411764705882,0.23529411764705882
2,4,1,0.5423464713630436,0.5423464713630436,0.39215686274509803,0.39215686274509803
3,18,2,0.587161528217359,0.587161528217359,0.0,0.0
16,23,2,0.5886245645185426,0.5886245645185426,0.39215686274509803,0.39215686274509803
13,36,2,0.5978436026934263,0.5978436026934263,0.3137254901960784,0.3137254901960784
21,26,1,0.6021480102989625,0.6021480102989625,0.0,0.0
21,36,2,0.6341817001937089,0.6341817001937089,0.3137254901960784,0.3137254901960784
20,39,3,0.6486034172365319,0.6486034172365319,0.23529411764705882,0.23529411764705882
21,35,1,0.6627891708345546,0.6627891708345546,0.0,0.0
4,19,1,0.6932349209154006,0.6932349209154006,0.9803921568627451,0.9803921568627451
11,21,2,0.7325062532117489,0.7325062532117489,0.0,0.0
5,26,2,0.7562856008890251,0.7562856008890251,0.0,0.0
27,33,3,0.7679979511756887,0.7679979511756887,0.19607843137254902,0.19607843137254902
5,35,1,0.8144830371318045,0.8144830371318045,0.0,0.0
5,36,1,0.9040958627130047,0.9040958627130047,0.3137254901960784,0.3137254901960784
6,17,3,0.9056677078615613,0.9056677078615613,0.3137254901960784,0.3137254901960784
1,7,1,0.9893912147675997,0.9893912147675997,0.0,0.0
5,11,1,1.0,1.0,0.0,0.0
