idx27,mapped_idx27,quartet,mapped_quartet,w33_line_id,mapped_w33_line_id,mean_abs_delta,mapped_mean_abs_delta
0,0,sec0_m0 sec1_m0 sec2_m0 sec3_m1,sec0_m0 sec1_m0 sec2_m0 sec3_m1,2,2,0.0016091061982513451,0.0016091061982513451
1,2,sec0_m0 sec1_m0 sec2_m1 sec3_m0,sec0_m0 sec1_m0 sec2_m2 sec3_m2,11,18,0.003458812317412455,0.011371733133028266
2,1,sec0_m0 sec1_m0 sec2_m2 sec3_m2,sec0_m0 sec1_m0 sec2_m1 sec3_m0,18,11,0.011371733133028266,0.003458812317412455
3,6,sec0_m0 sec1_m1 sec2_m0 sec3_m0,sec0_m0 sec1_m2 sec2_m0 sec3_m2,15,7,0.010631870193550426,0.01126903239649422
4,8,sec0_m0 sec1_m1 sec2_m1 sec3_m2,sec0_m0 sec1_m2 sec2_m2 sec3_m0,21,13,0.010446395495979312,0.0038460383048055614
5,7,sec0_m0 sec1_m1 sec2_m2 sec3_m1,sec0_m0 sec1_m2 sec2_m1 sec3_m1,36,3,0.0028638058953718904,0.012527663677193357
6,3,sec0_m0 sec1_m2 sec2_m0 sec3_m2,sec0_m0 sec1_m1 sec2_m0 sec3_m0,7,15,0.01126903239649422,0.010631870193550426
7,5,sec0_m0 sec1_m2 sec2_m1 sec3_m1,sec0_m0 sec1_m1 sec2_m2 sec3_m1,3,36,0.012527663677193357,0.0028638058953718904
8,4,sec0_m0 sec1_m2 sec2_m2 sec3_m0,sec0_m0 sec1_m1 sec2_m1 sec3_m2,13,21,0.0038460383048055614,0.010446395495979312
9,18,sec0_m1 sec1_m1 sec2_m1 sec3_m1,sec0_m2 sec1_m2 sec2_m2 sec3_m1,5,39,0.003458812317412455,0.01945270245354121
10,20,sec0_m1 sec1_m1 sec2_m2 sec3_m0,sec0_m2 sec1_m2 sec2_m1 sec3_m2,26,30,0.012538620247055654,0.003458812317412455
11,19,sec0_m1 sec1_m1 sec2_m0 sec3_m2,sec0_m2 sec1_m2 sec2_m0 sec3_m0,16,28,0.0032006867810644326,0.00044766330387043
12,24,sec0_m1 sec1_m2 sec2_m1 sec3_m0,sec0_m2 sec1_m1 sec2_m2 sec3_m2,32,20,0.010237910224970097,0.00034271195484016217
13,26,sec0_m1 sec1_m2 sec2_m2 sec3_m2,sec0_m2 sec1_m1 sec2_m1 sec3_m0,19,6,0.023527809847628173,0.0028638058953718904
14,25,sec0_m1 sec1_m2 sec2_m0 sec3_m1,sec0_m2 sec1_m1 sec2_m0 sec3_m1,35,14,0.015443508339366788,0.010940248884698443
15,21,sec0_m1 sec1_m0 sec2_m1 sec3_m2,sec0_m2 sec1_m0 sec2_m2 sec3_m0,4,22,0.002976508362919793,0.0033015429176538303
16,23,sec0_m1 sec1_m0 sec2_m2 sec3_m1,sec0_m2 sec1_m0 sec2_m1 sec3_m1,23,17,0.004551378777072315,0.0012889051225446393
17,22,sec0_m1 sec1_m0 sec2_m0 sec3_m0,sec0_m2 sec1_m0 sec2_m0 sec3_m2,1,8,0.00825534969123644,0.02892248524455424
18,9,sec0_m2 sec1_m2 sec2_m2 sec3_m1,sec0_m1 sec1_m1 sec2_m1 sec3_m1,39,5,0.01945270245354121,0.003458812317412455
19,11,sec0_m2 sec1_m2 sec2_m0 sec3_m0,sec0_m1 sec1_m1 sec2_m0 sec3_m2,28,16,0.00044766330387043,0.0032006867810644326
20,10,sec0_m2 sec1_m2 sec2_m1 sec3_m2,sec0_m1 sec1_m1 sec2_m2 sec3_m0,30,26,0.003458812317412455,0.012538620247055654
21,15,sec0_m2 sec1_m0 sec2_m2 sec3_m0,sec0_m1 sec1_m0 sec2_m1 sec3_m2,22,4,0.0033015429176538303,0.002976508362919793
22,17,sec0_m2 sec1_m0 sec2_m0 sec3_m2,sec0_m1 sec1_m0 sec2_m0 sec3_m0,8,1,0.02892248524455424,0.00825534969123644
23,16,sec0_m2 sec1_m0 sec2_m1 sec3_m1,sec0_m1 sec1_m0 sec2_m2 sec3_m1,17,23,0.0012889051225446393,0.004551378777072315
24,12,sec0_m2 sec1_m1 sec2_m2 sec3_m2,sec0_m1 sec1_m2 sec2_m1 sec3_m0,20,32,0.00034271195484016217,0.010237910224970097
25,14,sec0_m2 sec1_m1 sec2_m0 sec3_m1,sec0_m1 sec1_m2 sec2_m0 sec3_m1,14,35,0.010940248884698443,0.015443508339366788
26,13,sec0_m2 sec1_m1 sec2_m1 sec3_m0,sec0_m1 sec1_m2 sec2_m2 sec3_m2,6,19,0.0028638058953718904,0.023527809847628173
