u,v,delta_sum_mod8,edge_elem_2T,is_defect
0,6,0,e,0
0,20,4,e*,1
0,26,6,(0 2 1),0
0,45,6,(0 2 1),0
0,48,6,(0 2 1),0
1,16,2,(0 1 2),0
1,17,0,e,0
1,32,2,(0 1 2),0
1,50,0,e,0
1,54,2,(0 1 2),0
2,17,6,(0 2 1),0
2,21,6,(0 2 1),0
2,30,0,e,0
2,32,0,e,0
3,11,0,e,0
3,14,2,(0 1 2),0
3,22,2,(0 1 2),0
4,7,0,e,0
4,46,6,(0 2 1),0
4,47,2,(0 1 2),0
4,52,0,e,0
5,30,2,(0 1 2),0
5,40,0,e,0
5,46,6,(0 2 1),0
5,47,2,(0 1 2),0
6,24,6,(0 2 1),0
6,32,6,(0 2 1),0
6,35,6,(0 2 1),0
6,38,6,(0 2 1),0
6,54,6,(0 2 1),0
7,29,0,e,0
7,36,6,(0 2 1),0
8,23,2,(0 1 2),0
8,39,0,e,0
8,50,2,(0 1 2),0
9,16,0,e,0
9,31,0,e,0
9,50,6,(0 2 1),0
9,54,0,e,0
10,12,4,e*,1
10,26,0,e,0
10,33,0,e,0
11,25,2,(0 1 2),0
11,39,6,(0 2 1),0
11,50,0,e,0
12,15,2,(0 1 2),0
12,27,0,e,0
13,15,0,e,0
13,23,0,e,0
13,27,6,(0 2 1),0
13,35,2,(0 1 2),0
13,38,2,(0 1 2),0
13,52,0,e,0
14,28,2,(0 1 2),0
14,37,6,(0 2 1),0
15,29,0,e,0
15,33,2,(0 1 2),0
15,53,0,e,0
16,34,0,e,0
16,55,0,e,0
16,56,0,e,0
17,55,2,(0 1 2),0
18,21,0,e,0
18,32,2,(0 1 2),0
18,35,2,(0 1 2),0
18,51,0,e,0
19,20,6,(0 2 1),0
19,22,0,e,0
19,24,0,e,0
19,41,0,e,0
19,42,2,(0 1 2),0
20,27,6,(0 2 1),0
20,38,2,(0 1 2),0
20,40,0,e,0
20,44,2,(0 1 2),0
21,37,0,e,0
22,25,0,e,0
22,28,2,(0 1 2),0
23,29,0,e,0
23,34,2,(0 1 2),0
23,53,0,e,0
24,25,0,e,0
24,38,0,e,0
24,47,0,e,0
24,52,6,(0 2 1),0
25,34,0,e,0
25,53,6,(0 2 1),0
26,27,4,e*,1
26,35,0,e,0
26,44,0,e,0
27,45,4,e*,1
28,42,0,e,0
29,52,0,e,0
30,41,0,e,0
30,55,0,e,0
30,56,0,e,0
31,43,6,(0 2 1),0
31,48,0,e,0
32,56,0,e,0
33,35,0,e,0
33,51,6,(0 2 1),0
34,38,0,e,0
34,50,6,(0 2 1),0
34,54,0,e,0
36,43,2,(0 1 2),0
36,46,0,e,0
37,51,0,e,0
38,56,0,e,0
39,53,2,(0 1 2),0
40,41,2,(0 1 2),0
40,49,2,(0 1 2),0
40,56,2,(0 1 2),0
41,47,0,e,0
41,58,2,(0 1 2),0
42,44,6,(0 2 1),0
42,58,0,e,0
43,57,0,e,0
44,45,0,e,0
44,49,0,e,0
45,57,6,(0 2 1),0
47,56,0,e,0
48,54,0,e,0
48,57,6,(0 2 1),0
49,58,2,(0 1 2),0
52,53,0,e,0
